"Acer Iconia A3-A10","a3-a10"
"Huawei Nova Plus","mla-l11"
"Huawei Nova Smart","dig-l01"
"Huawei Nova Young","mya-l11"
"HUAWEI Nova2","pic-lx9"
"Huawei P Smart","fig-lx1"
"Huawei P Smart","fig-lx3"
"HUAWEI P smart","fig-la1"
"Huawei P10","p10"
"Huawei P10","vtr-l29"
"Huawei P10 Lite","was-lx1a"
"Huawei P10 Lite","vtr-l09"
"Huawei P10 Lite","was-lx3"
"Huawei P10 Lite","was-tl10"
"Huawei P10 Lite","was-lx2j"
"Huawei P10 Lite","was-l03t"
"Huawei p10 Lite","was-lx1"
"Huawei P10 Plus","vky-l09"
"HUAWEI P10 Plus","vky-l29"
"Huawei P20","eml-l09"
"Huawei P20 ","eml-l29"
"Huawei P20 Lite","ane-lx1"
"HUAWEI P20 lite","ane-lx2"
"HUAWEI P20 lite","ane-lx3"
"Huawei P20 Pro","clt-l09"
"Huawei P20 Pro","clt-l29"
"Huawei P7-L10","p7-l10"
"HUAWEI P8","gra-ul10"
"Huawei P8","gra-l09"
"Huawei P8 Lite","pra-lx1"
"Huawei P8 Lite","ale-l21"
"Huawei P8 Lite","pra-la1"
"Huawei P8 Lite","ale-l23"
"Huawei P8 Lite Smart","huawei tag-l01"
"Huawei P8 Lite Smart","tag-l01"
"Huawei P9","eva-l09"
"Huawei P9","eva-l19"
"Huawei P9 Lite","vns-l31"
"Huawei P9 Lite","vns-l21"
"Huawei P9 Lite","huawei vns-l21"
"Huawei P9 Lite ","pra-lx3"
"Huawei P9 Lite ","vns-l23"
"Huawei P9 Lite Dual VNS-L31 4G","huawei vns-l31"
"Huawei P9 Lite Mini","sla-l22"
"Huawei P9 Lite Mini","sla-l02"
"Huawei P9 Plus","vie-l09"
"Huawei Rne L03","rne-l03"
"Huawei SENSA","h710vl"
"Huawei Y3","cro-l22"
"Huawei Y3","cro-u00"
"Huawei Y3","y360-u61"
"Huawei Y3 II","lua-u22"
"Huawei Y3 II","huawei lua-u22"
"Huawei Y3II","huawei lua-l21"
"Huawei Y3II","lua-l21"
"Huawei Y3II","lua-u21"
"Huawei Y5","dra-l21"
"Huawei Y5","mya-l22"
"Huawei Y5","y560-l01"
"Huawei Y5","huawei y560-l01"
"Huawei Y5 II","huawei cun-l21"
"Huawei Y5 II","cun-l03"
"Huawei Y5 Pro","mya-l13"
"Huawei Y5-II","huawei cun-l01"
"Huawei Y5-II","cun-l01"
"Huawei Y5II","cun-l21"
"Huawei Y5II","cun-u29"
"Huawei Y6","mya-l41"
"Huawei Y6","mya-l03"
"Huawei Y6","huawei scl-l01"
"Huawei Y6","atu-l21"
"Huawei Y6","atu-l11"
"Huawei Y6","scl-l21"
"Huawei Y6","scl-l01"
"Huawei Y6 II","cam-l23"
"Huawei Y6 II","cam-l03"
"Huawei Y6 II","lyo-l01"
"Huawei Y6 Pro","tit-al00"
"Huawei Y6 Pro","tit-l01"
"Huawei Y6 Pro","tit-u02"
"Huawei Y625","y625-u51"
"Huawei Y625","huawei y625-u13"
"Huawei Y625","huawei y625-u21"
"Huawei Y625","y625-u21"
"Huawei Y625","huawei y625-u51"
"Huawei Y635","y635-l01"
"Huawei Y635","y635-l21"
"Huawei Y6II","huawei lyo-l01"
"Huawei Y6II","lyo-l21"
"Huawei Y6ii Cam","cam-l21"
"Huawei Y6II Compact","huawei lyo-l21"
"Huawei Y6II Compact","lyo-l01 compact"
